gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
983567462,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS74072507,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Lighthouse Pt.,California,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.951153,-122.02651,,,,,,,10/21/95,21,10,1995,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS74072507,,,,CC_BY_4_0,,obsr27456,,,2024-01-24T21:30:22.613Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980577273,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS248928468,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Pigeon Pt.,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.182,-122.394,,,,,,,9/15/94,15,9,1994,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS248928468,,,,CC_BY_4_0,,obsr106511,,,2024-01-24T21:11:06.415Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979707761,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS240324698,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Pigeon Pt.,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.182,-122.394,,,,,,,8/12/80,12,8,1980,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS240324698,,,,CC_BY_4_0,,obsr26970,,,2024-01-24T21:08:55.482Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979555364,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS240304970,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Santa Cruz Municipal Wharf,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.959034,-122.01829,,,,,,,8/12/80,12,8,1980,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS240304970,,,,CC_BY_4_0,,obsr26970,,,2024-01-24T20:26:55.087Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979516656,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS239744305,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Santa Cruz Municipal Wharf,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.959034,-122.01829,,,,,,,8/2/80,2,8,1980,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS239744305,,,,CC_BY_4_0,,obsr26970,,,2024-01-24T20:26:53.997Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
977731159,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS227468479,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Manresa SB (north access),California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.931747,-121.86228,,,,,,,1/4/02,4,1,2002,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS227468479,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:26:34.122Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
977563646,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS227089591,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Manresa SB - ocean and beach,California,PRESENT,4,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.91923,-121.85327,,,,,,,12/21/01,21,12,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS227089591,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:31:21.433Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
977346794,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225861972,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Craig's Nose,California,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.06986,-122.25949,,,,,,,7/16/01,16,7,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS225861972,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:33:40.236Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
977203960,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225642005,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Pescadero Beach,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.26586,-122.41184,,,,,,,10/5/13,5,10,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS225642005,,,,CC_BY_4_0,,obsr323707,,,2024-01-24T20:26:30.778Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
977178530,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225267792,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Highway 1 Milepost 33.45,California,PRESENT,7,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.06045,-122.25303,,,,,,,5/29/01,29,5,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS225267792,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:10:10.769Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
977175726,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225267781,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Headquarters Area,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.17268,-122.222084,,,,,,,5/21/01,21,5,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS225267781,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:30:52.665Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
977173485,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225267766,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Fall Creek Unit of Henry Cowell SP - Truck Trail (old growth),California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.08247,-122.11542,,,,,,,5/6/01,6,5,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS225267766,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:26:30.198Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
977173280,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225267762,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Fall Creek Unit of Henry Cowell SP - Truck Trail (old growth),California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.08247,-122.11542,,,,,,,5/4/01,4,5,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS225267762,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:26:31.851Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
977150608,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225153255,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Natural Bridges SB--overlook,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.949413,-122.05647,,,,,,,7/15/11,15,7,2011,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS225153255,,,,CC_BY_4_0,,obsr203208,,,2024-01-24T21:33:02.307Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
977002278,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS224989168,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Davenport (town),California,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.011646,-122.19352,,,,,,,6/9/12,9,6,2012,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS224989168,,,,CC_BY_4_0,,obsr446156,,,2024-01-24T20:26:30.217Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
976805137,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS224475941,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Half Moon Bay SB--Venice Beach and Pilarcitos/Frenchman's Creek Mouth,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.47705,-122.44928,,,,,,,12/28/13,28,12,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS224475941,,,,CC_BY_4_0,,obsr193088,,,2024-01-24T21:33:46.866Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
