OID_,FID_Clip_layer_neg_buffer,FID_gbif_occurrence,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1,1,1537,4516730905.000000000000000,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/196935788,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.973121999999996,-121.835472999999993,28476,,,,,,2024-01-17T11:57:42,17,1,2024,5229281,5229281,HUMAN_OBSERVATION,iNaturalist,Observations,196935788,,egarfield,2024-01-17T20:05:41,CC_BY_NC_4_0,egarfield,egarfield,,,2024-02-09T12:19:38.026Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2,1,5724,1990436992.000000000000000,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/1081587,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.989586000000003,-121.805282000000005,28476,,,,,,11/18/14,18,11,2014,5229281,5229281,HUMAN_OBSERVATION,iNaturalist,Observations,1081587,,James Maughn,2014-11-19T07:58:38,CC_BY_NC_4_0,James Maughn,James Maughn,,,2024-02-09T11:23:52.118Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3,1,7217,1181558059.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS265247050,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,SCZ FBMP RINC 5,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.018146999999999,-122.056690000000003,,,,,,,5/22/02,22,5,2002,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS265247050,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:34:12.785Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4,1,7208,1182264456.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS266014836,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Smith Grade Road at Majors Creek,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.017563000000003,-122.114090000000004,,,,,,,7/27/02,27,7,2002,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS266014836,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:10:51.054Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
5,1,7215,1181559444.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS265247065,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,SCZ FBMP LEMP 1,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.076602999999999,-122.131645000000006,,,,,,,6/9/02,9,6,2002,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS265247065,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:10:20.402Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
6,1,12,977173485.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225267766,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Fall Creek Unit of Henry Cowell SP - Truck Trail (old growth),California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.082470000000001,-122.115420000000000,,,,,,,5/6/01,6,5,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS225267766,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:26:30.198Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
7,1,13,977173280.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225267762,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Fall Creek Unit of Henry Cowell SP - Truck Trail (old growth),California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.082470000000001,-122.115420000000000,,,,,,,5/4/01,4,5,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS225267762,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:26:31.851Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
8,1,7218,1181552686.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS265247007,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Fall Creek Unit of Henry Cowell SP - Truck Trail (old growth),California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.082470000000001,-122.115420000000000,,,,,,,5/4/02,4,5,2002,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS265247007,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:33:48.719Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
9,1,6940,1265904222.000000000000000,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/3084899,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.088597000000000,-122.203963999999999,28447,,,,,,2016-05-02T08:37:38,2,5,2016,5229281,5229281,HUMAN_OBSERVATION,iNaturalist,Observations,3084899,,Donna Pomeroy,2016-05-03T01:21:00,CC_BY_NC_4_0,Donna Pomeroy,Donna Pomeroy,,,2024-02-09T11:54:35.519Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
10,1,6223,1453248472.000000000000000,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/4652935,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.093791000000003,-122.211659999999995,28447,,,,,,2016-11-26T12:43:12,26,11,2016,5229281,5229281,HUMAN_OBSERVATION,iNaturalist,Observations,4652935,,jbradbury,2016-11-28T02:42:15,CC_BY_4_0,jbradbury,jbradbury,,,2024-02-09T11:54:29.960Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
11,1,3509,2850708094.000000000000000,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/55978958,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.099522000000000,-122.218131000000000,28447,,,,,,2020-08-09T13:41,9,8,2020,5229281,5229281,HUMAN_OBSERVATION,iNaturalist,Observations,55978958,,James Maughn,2020-08-10T00:20:18,CC_BY_NC_4_0,James Maughn,James Maughn,,,2024-02-09T12:26:47.911Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
