scientific_name,longitude,latitude,gbif_id,locality,occurrence_status,individual_count,year,basis_of_record,institution_code
Brachyramphus marmoratus,-121.835473,36.973122,4516730905,NA,PRESENT,NA,2024,HUMAN_OBSERVATION,iNaturalist
Brachyramphus marmoratus,-121.805282,36.989586,1990436992,NA,PRESENT,NA,2014,HUMAN_OBSERVATION,iNaturalist
Brachyramphus marmoratus,-122.05669,37.018147,1181558059,SCZ FBMP RINC 5,PRESENT,2,2002,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.11409,37.017563,1182264456,Smith Grade Road at Majors Creek,PRESENT,2,2002,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.131645,37.076603,1181559444,SCZ FBMP LEMP 1,PRESENT,2,2002,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.11542,37.08247,977173485,Fall Creek Unit of Henry Cowell SP - Truck Trail (old growth),PRESENT,1,2001,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.11542,37.08247,977173280,Fall Creek Unit of Henry Cowell SP - Truck Trail (old growth),PRESENT,2,2001,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.11542,37.08247,1181552686,Fall Creek Unit of Henry Cowell SP - Truck Trail (old growth),PRESENT,1,2002,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.203964,37.088597,1265904222,NA,PRESENT,NA,2016,HUMAN_OBSERVATION,iNaturalist
Brachyramphus marmoratus,-122.21166,37.093791,1453248472,NA,PRESENT,NA,2016,HUMAN_OBSERVATION,iNaturalist
Brachyramphus marmoratus,-122.218131,37.099522,2850708094,NA,PRESENT,NA,2020,HUMAN_OBSERVATION,iNaturalist
Brachyramphus marmoratus,-122.26767,37.132378,272185619,Rancho Del Oso - Owl WA 1,PRESENT,2,2010,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.26767,37.132378,271113764,Rancho Del Oso - Owl WA 1,PRESENT,2,2009,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.26787,37.13379,277551897,Rancho Del Oso - Waddell Forks,PRESENT,2,2009,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.26835,37.137466,278050544,Big Basin SP - Owl WW 2,PRESENT,1,2009,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.226753,37.141325,1901038505,NA,PRESENT,NA,2018,HUMAN_OBSERVATION,iNaturalist
Brachyramphus marmoratus,-122.257965,37.14599,2076935170,Big Basin SP--McCrary Ridge Trail,PRESENT,1,2017,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.257965,37.14599,2060347133,Big Basin SP--McCrary Ridge Trail,PRESENT,1,2017,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.30519,37.14872,1182264464,Cascade Creek,PRESENT,NA,2002,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.2217,37.16039,953981294,Big Basin SP - Pine Mtn Trail 2,PRESENT,2,1987,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.227165,37.160725,3282512626,Big Basin Redwoods State Park - East Fork Waddell #2,PRESENT,2,2001,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.227165,37.160725,3208219471,Big Basin Redwoods State Park - East Fork Waddell #2,PRESENT,3,2001,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.22678,37.161777,3202270669,Big Basin Redwoods State Park - East Fork Waddell #1,PRESENT,2,2001,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.230225,37.162895,278106365,SCZ FBMP MCAB 4,PRESENT,5,2003,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.230225,37.162895,278106364,SCZ FBMP MCAB 4,PRESENT,5,2003,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.22063,37.163807,277720573,Big Basin SP - Owl BL 8,PRESENT,1,2006,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.21455,37.16412,3281255554,Big Basin Redwoods State Park - Blooms Creek Campground,PRESENT,1,2001,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.22897,37.164124,4302895735,Big Basin SP--wastewater treatment facility (no public access),PRESENT,1,2022,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.22768,37.16506,272517073,BBS 14-319 Stop 1,PRESENT,3,1997,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.22768,37.16506,1412235198,BBS 14-319 Stop 1,PRESENT,2,2001,HUMAN_OBSERVATION,CLO
Brachyramphus marmoratus,-122.2323,37.16531,278111788,SCZ FBMP MCAB 5,PRESENT,7,2003,HUMAN_OBSERVATION,CLO
